# ==== Единая таблица Q-факторов (single source of truth) ====
# Строки: <glob-паттерн>\t<factor>  (первое совпадение сверху вниз, case-insensitive)
# Factor = байт на миллиард параметров (напр. 0.56 = 576 байт/параметр ~ 4.5 бит).
# Читается и bash (detect_hw.sh), и PowerShell (detect_hw.ps1). Не дублировать
# таблицу в двух языках — менять ТОЛЬКО здесь.
*IQ4_NL*	0.52
*IQ4_*	0.52
*IQ2_*	1.00
*Q2_K*	1.00
*Q2_*	1.00
*Q3_K_M*	0.64
*Q3_K_S*	0.58
*Q3_K*	0.61
*Q3_*	0.59
*Q4_0*	0.55
*Q4_1*	0.55
*Q4_K_XL*	0.57
*Q4_K_S*	0.53
*Q4_K_M*	0.56
*Q4_K_L*	0.60
*Q4_K*	0.57
*Q4_*	0.55
*Q5_0*	0.75
*Q5_1*	0.75
*Q5_K_S*	0.72
*Q5_K_M*	0.78
*Q5_K*	0.75
*Q5_*	0.76
*Q6_K*	0.85
*Q6_*	0.85
*Q8_0*	1.20
*Q8_1*	1.19
*Q8_*	1.20
*Q2*	1.00
*Q3*	0.60
*Q4*	0.56
*Q5*	0.75
*Q6*	0.85
*Q8*	1.20
*F16*	2.10
*FP16*	2.10
*F32*	4.20
*FP32*	4.20
